id,platform,source_file,solver_route,mode,warmup_steps,benchmark_steps,elapsed_sec,sim_fps,dt,substeps,solver_iterations,viewer_on,recording_on,stable,notes
N01,Newton,newton/newton/examples/contacts/example_pyramid.py,XPBD rigid contact,simulation-only,50,200,unknown,unknown,0.001,10,XPBD_ITERATIONS=2,false,false,false,blocked: RuntimeError: CUDA device is not available in this Python/Warp environment; warp_devices=cpu
N09a,Newton,newton/newton/examples/cloth/example_cloth_hanging.py,XPBD cloth solver,simulation-only,50,200,unknown,unknown,1/600,10,iterations=10,false,false,false,blocked: RuntimeError: CUDA device is not available in this Python/Warp environment; warp_devices=cpu
